accession_num,aa_cnt,species
NP_001116538,776,human
Q5YCV9,776,common gibbon
XP_012352933,732,white-cheeked gibbon
XP_002800600,776,Chinese Rhesus monkey
XP_003913279,776,olive baboon
XP_008995083,772,white-tufted-ear marmoset
XP_010328565,748,Bolivian squirrel monkey
XP_005983781,758,Tibetan antelope
XP_013845380,784,domestic pig
XP_006199331,764,alpaca
XP_005858648,803,Brandt's bat
EFB25687,776,giant panda
XP_007957952,780,aardvark
XP_003414352,778,African savanna elephant
XP_006159184,760,Chinese tree shrew
XP_008269868,741,rabbit
XP_006532473,767,house mouse
XP_013003800,771,domestic guinea pig
XP_003786275,768,small-eared galago
XP_007482569,816,grey short-tailed opossum
NP_001186122,654,chicken
XP_013153409,693,peregrine falcon
scaffold11486,761,Austalian saltwater crocodile
XP_008160844,697,western painted turtle
ETE73308,504,king cobra
XP_003222596,656,green anole
XP_012808014,714,western clawed frog
XP_005994684,498,African coelacanth
XP_007909862,451,elephant shark
ctg21514,271,little skate
XP_006638354,873,spotted gar
JL1528,864,Japanese arctic lamprey
GL477576,798,sea lamprey
CT004140,243,Japanese inshore hagfish
XP_011509496,1915,human
XP_012357075,1915,white-cheeked gibbon
XP_001109205,1915,Rhesus monkey
XP_008997639,1918,white-tufted-ear marmoset
XP_008046808,1908,Philippine tarsier
XP_003785034,1918,small-eared galago
XP_006140134,1900,Chinese tree shrew
XP_008257297,1921,rabbit
XP_013012914,1996,domestic guinea pig
XP_006495809,1859,house mouse
XP_006082532,1909,little brown bat
XP_002930198,1831,giant panda
XP_004427558,1926,southern white rhinoceros
XP_006205305,1925,alpaca
XP_013839900,1925,domestic pig
XP_004262822,1925,killer whale
XP_003406137,1915,African savanna elephant
XP_012401853,1852,Tasmanian devil
XP_005244460,1951,peregrine falcon
XP_004942495,1949,chicken
scaffold43622,1947,Australian saltwater crocodile
XP_005279754,2049,western painted turtle
XP_008112315,1817,green anole
XP_012826494,1771,western clawed frog
BAHO01035973,2118,African coelacanth
XP_006636477,1865,spotted gar
ctg90279,1692,little skate
XP_007898318,1996,elephant shark
KE993814,196,arctic lamprey
NP_002366,1152,human
AHY35223,927,white-cheeked gibbon
XP_007982279,1124,African green monkey
AHY35229,1124,Rhesus monkey
NW_003943621,1122,Bolivian squirrel monkey
XP_008979830,1120,white-tufted-ear marmoset
XP_008069515,1081,Philippine tarsier
XP_01266736,1119,small-eared galago
XP_005669550,1159,domestic pig
XP_004283932,1097,killer whale
EFB19194,1119,giant panda
XP_010588144,1097,African savanna elephant
XP_008258796,1160,rabbit
XP_013015608,1129,domestic guinea pig
NP_001192259,1125,house mouse
XP_012398874,1052,Tasmanian devil
XP_007066464,951,green sea turtle
XP_006035731,761,Chinese alligator
XP_005229637,1153,peregrine falcon
XP_418480,1079,chicken
XP_008116759,1176,green anole
NP_001119982,1164,western clawed frog
XP_006634278,629,spotted gar
XP_006003167,1753,African coelacanth
ctg92199,534,little skate
